Note,Status
A path walk like a social game,Working note
is there star rankings or checkmarks?,Working note
gate the journey stepping stones so kids can only do 1 a day without parent intervention (like reading.com),Working note
small character who goes on journey with you like Duo or the panda in Khan Academy,Working note
Unlock music books and music craft tutorials along journey. ,Working note
Potentially have a library like Khan Academy that's preloaded with free instrument exploration similar to playground in Lucas and Friends app,Working note
After each successful level completion: ,Working note
"""you're doing super!"" shake the sound like c ya later",Legacy reward idea — superseded by current jingle concept in PRODUCT_SPEC
